Practice Name,Chain,Address,Email,Phone,Date Contacted,Method,Status,Follow-up Date,Notes
Mydentist West London,Mydentist,147 King Street, Hammersmith, London W6 9LP,,,1/15/2026,Email,Sent,,Sample email sent
Mydentist Central London,Mydentist,45 Margaret Street, Fitzrovia, London W1W 8SB,,,1/15/2026,Email,Sent,,Sample email sent
Mydentist South London,Mydentist,125 Streatham High Road, Streatham, London SW16 1AB,,,1/15/2026,Email,Sent,,Sample email sent
Mydentist East London,Mydentist,234 Commercial Road, Whitechapel, London E1 2BU,,,1/15/2026,Email,Sent,,Sample email sent
Mydentist North London,Mydentist,89 Junction Road, Archway, London N19 5PX,,,1/15/2026,Email,Sent,,Sample email sent
Bupa Dental Marylebone,Bupa,125 George Street, Marylebone, London W1U 6RZ,,,1/15/2026,Email,Sent,,Sample email sent
Bupa Dental Canary Wharf,Bupa,Canada Place, Canary Wharf, London E14 5AX,,,1/15/2026,Email,Sent,,Sample email sent
Bupa Dental Kensington,Bupa,197 Kensington High Street, London W8 6BA,,,1/15/2026,Email,Sent,,Sample email sent
Bupa Dental Chelsea,Bupa,375 King's Road, Chelsea, London SW3 5UW,,,1/15/2026,Email,Sent,,Sample email sent
Bupa Dental City,Bupa,1 King Street, City of London, London EC2V 8AU,,,1/15/2026,Email,Sent,,Sample email sent