Restaurant Name,Area,Cuisine,Email,Phone,Date Contacted,Method,Status,Follow-up Date,Notes
The London Kitchen,West End,Modern British,,,1/15/2026,Email,Sent,,Sample restaurant
Example Italian Restaurant,Soho,Italian,,,1/15/2026,Email,Sent,,Sample restaurant
Example Thai Restaurant,Shoreditch,Thai,,,1/15/2026,Email,Sent,,Sample restaurant
Example Steakhouse,City,Steakhouse,,,1/15/2026,Email,Sent,,Sample restaurant
Example Vegan Restaurant,Clapham,Vegan,,,1/15/2026,Email,Sent,,Sample restaurant
Example Seafood Restaurant,Mayfair,Seafood,,,1/15/2026,Email,Sent,,Sample restaurant
Example Gastropub,Islington,Gastropub,,,1/15/2026,Email,Sent,,Sample restaurant
Example Pizza Restaurant,Camberwell,Italian,,,1/15/2026,Email,Sent,,Sample restaurant
Example Fine Dining,Knightsbridge,French,,,1/15/2026,Email,Sent,,Sample restaurant
Example Cafe/Bistro,Hackney,Cafe/Bistro,,,1/15/2026,Email,Sent,,Sample restaurant